"Qty";"Value";"Device";"Package";"Parts";"Description";"DATASHEET";"DIST";"DISTLINK";"DISTPN";"MFR";"MPN";"VALUE";
"1";"0.1uF/50V";"0.1UF_SMD-0402_50V-10%";"CAPC1005X55_SMD-0402";"C1";"";"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_soft_en.pdf";"Digikey";"https://www.digikey.com/products/en?keywords=445-173610-1-ND";"445-173610-1-ND";"TDK Corporation";"C1005X7R1H104K050BE";"0.1uF/50V";
"1";"LTR-390UV-01";"LTR-390UV-01";"SON65P200X200X70-6N-LTR-390UV-01";"U1";"SENSOR OPT ULTRAVIOLET 6PINS";"https://optoelectronics.liteon.com/upload/download/DS86-2015-0004/LTR-390UV_Final_%20DS_V1%201.pdf";"Digikey";"https://www.digikey.com/en/products/detail/lite-on-inc/LTR-390UV-01/7322497?s=N4IgTCBcDaIDIBUBKBaAzATgAwFUBqKWAjCgHIAiIAugL5A";"LTR-390UV-01-ND";"Lite-On Inc.";"LTR-390UV-01";"LTR-390UV-01";
"2";"PTH VERT MALE";"1X03_PTH_VERT_MALE_2.54MM";"HDRV3W64P254_1X3_762X254X838B";"J1, J2";"";"https://s3.amazonaws.com/catalogspreads-pdf/PAGE112-113%20.100%20MALE%20HDR.pdf";"Digikey";"https://www.digikey.com/en/products/detail/sullins-connector-solutions/PEC03SAAN/859156?s=N4IgTCBcDaIMoEYAMCwFEC0SDMGByAIiALoC%2BQA";"S1012E-03-ND";"Sullins Connector Solutions";"PEC03SAAN";"PTH VERT MALE";
